code,name,city,state,latitude,longitude
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.6367,-84.4281
LAX,Los Angeles International Airport,Los Angeles,CA,33.9416,-118.4085
ORD,O'Hare International Airport,Chicago,IL,41.9796,-87.9045
DFW,Dallas/Fort Worth International Airport,Dallas,TX,32.8975,-97.0375
DEN,Denver International Airport,Denver,CO,39.8561,-104.6737
JFK,John F. Kennedy International Airport,New York,NY,40.6413,-73.7781
SFO,San Francisco International Airport,San Francisco,CA,37.6189,-122.375
LAS,McCarran International Airport,Las Vegas,NV,36.0801,-115.1522
SEA,Seattle-Tacoma International Airport,Seattle,WA,47.4502,-122.3088
MCO,Orlando International Airport,Orlando,FL,28.4294,-81.3089
EWR,Newark Liberty International Airport,Newark,NJ,40.6925,-74.1687
CLT,Charlotte Douglas International Airport,Charlotte,NC,35.214,-80.9431
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.4342,-112.0115
IAH,George Bush Intercontinental Airport,Houston,TX,29.9844,-95.3414
MIA,Miami International Airport,Miami,FL,25.7933,-80.2906
BOS,Logan International Airport,Boston,MA,42.3643,-71.0052
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,MN,44.8848,-93.2223
FLL,Fort Lauderdale-Hollywood International Airport,Fort Lauderdale,FL,26.0726,-80.1528
DTW,Detroit Metropolitan Wayne County Airport,Detroit,MI,42.2124,-83.3534
PHL,Philadelphia International Airport,Philadelphia,PA,39.8719,-75.2411
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,MD,39.1754,-76.6683
SLC,Salt Lake City International Airport,Salt Lake City,UT,40.7884,-111.9778
TPA,Tampa International Airport,Tampa,FL,27.9756,-82.5333
IAD,Washington Dulles International Airport,Washington,DC,38.9531,-77.4565
MDW,Chicago Midway International Airport,Chicago,IL,41.7881,-87.7417
PDX,Portland International Airport,Portland,OR,45.5887,-122.5975
HNL,Honolulu International Airport,Honolulu,HI,21.3187,-157.9224
AUS,Austin-Bergstrom International Airport,Austin,Texas,30.1975,-97.6664
